system:index,mean,value,.geo
0000000000000000005a,1.4224494940972243,6959.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005b,1.4910289593858022,6960.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005c,1.458538724171954,6961.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005d,1.2370189507750033,6962.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005e,1.161361499842198,6963.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000005f,1.2563685015694728,6964.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000060,1.2866412254115576,6965.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000061,1.3713089715672568,6966.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000062,1.011142279603449,6967.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000063,0.9176365996492358,6968.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000064,0.9417485530124539,6969.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000065,0.9604563998244038,6970.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000066,1.0971099023891655,6971.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000067,1.1507933221916504,6972.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000068,1.0590763329709274,6973.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000069,1.1475562771111867,6974.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006a,1.005240562459081,6975.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006b,0.8982113398219391,6976.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006c,0.7947357193902632,6977.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006d,0.6360206721268572,6978.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006e,0.6281105097078361,6979.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000006f,0.4675999308089548,6980.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000070,0.5989950235649709,6981.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000071,0.6798860041633052,6982.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000072,0.7727544662823173,6983.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000073,0.8984344936037877,6984.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000074,1.0572189308591735,6985.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000075,1.847172744994657,6986.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000076,1.4208038456717427,6987.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000077,0.5472948873002086,6988.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000078,0.22980962403331215,6989.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000079,0.23146568657101502,6990.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007a,0.19435545331884935,6991.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007b,0.2914885117801862,6992.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007c,0.5987219008540087,6993.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007d,0.9503141801746723,6994.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007e,1.4423289139647004,6995.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000007f,0.8707579736494404,6996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000080,1.1161572570858933,6997.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000081,0.7075446826355886,6998.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000082,1.1905443264903808,6999.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000083,2.2473300228492747,7000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084,3.5942062120025575,7001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000085,2.4253141656960646,7002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000086,1.3423404650255193,7003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000087,1.5183933569175314,7004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000088,1.5019561708694606,7005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000089,1.623203600359171,7006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,2.456894017908442,7007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,0.5714455342873496,7008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,0.634249267789058,7009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,0.6343724122025158,7010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,0.9448604908204339,7011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,2.591120022546081,7012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000090,2.7452514204920546,7013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000091,2.6344284934987043,7014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000092,2.4597357046287476,7015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
