system:index,b0,b10,b100,b200,b30,b60,value,.geo
00000000000000002a80,20.650222273394647,20.609004429019546,22.171458603122232,22.133078089543208,21.0072318722397,21.853675972394658,6468.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a81,22.239092021978255,22.114555991029054,23.566617003710494,23.36797498505367,22.38040464237927,23.39909562807824,6469.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a82,21.000847087433158,20.999690012813865,22.371645851659736,22.246344286319342,21.24616778341133,22.123747833648217,6470.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a83,22.24651659917597,22.23832471590318,23.65402246204401,23.48588546546462,22.54434555083127,23.50808370410535,6471.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a84,21.85441230383433,21.829264118888386,23.447165689100007,23.311796499106016,22.185636775361516,23.25147678844426,6472.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a85,27.850308028286758,27.576468619331557,28.60105615121713,28.337675435973956,27.58175158996882,28.42005991310731,6473.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a86,32.71797871199633,32.403248525690714,32.72270365047915,32.72209535853951,32.31688815178255,32.95533055748069,6474.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a87,24.571937138515445,24.42337822009185,25.836063431488594,25.905859539996413,24.693348652726215,25.69390044482042,6475.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a88,23.86046891190733,23.77288763801859,25.338596288128695,25.47150084199688,24.377035880073368,25.090240427742028,6476.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a89,23.668386178596382,23.800046699924682,25.228497599420976,25.512881448724045,24.232126506737817,25.101238720257196,6477.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8a,25.417875184654527,25.2718521752059,26.47500466578736,26.60299274667786,25.681561757625868,26.428204446890756,6478.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8b,24.05628307813373,24.006278381208748,25.365853450247183,25.550288884608374,24.374555254973412,25.341701134505026,6479.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8c,22.04236628411438,21.91749277435847,23.48414186392922,23.622237103530765,22.280397278217787,23.142082193115428,6480.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8d,25.650814617857083,25.143712273689705,26.290500063104666,26.40102188224864,25.3814869958795,26.142298668858196,6481.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8e,21.600076481908072,21.475899658772963,22.95103007023168,23.1788860590371,21.871514506258304,22.63760164375997,6482.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a8f,23.55520832706,23.397447653957258,25.130440915385897,25.145008769113367,23.880336551369265,24.721027455423165,6483.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a90,30.390826352799692,30.0217830616264,31.38548681806312,31.18565609105934,30.173816473268296,31.135258299518252,6484.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a91,30.19607899140521,30.05477682709758,31.789143204053744,31.852163879207048,30.65650855247272,31.466092704177036,6485.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a92,32.02555575781519,31.794212469499797,33.0883304336905,33.17418375003405,32.17843680607571,32.80993777237662,6486.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a93,32.16617488233423,31.93758880552928,33.0156792551314,33.325325730520476,32.31440155510827,32.95688196248231,6487.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a94,39.86617695304357,39.905029108837894,39.258351961186584,38.60464894776637,40.04326992611952,40.433754022969495,6488.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a95,36.72847404645102,36.68437831387289,36.93981634874052,36.282561991081614,37.344119688190894,37.717450983556645,6489.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a96,38.18059726939231,38.07397116676318,38.294297722448064,37.76302934661329,38.73484107304892,39.23592934949171,6490.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a97,36.79304376321788,36.6002665888957,36.4883318329536,35.985104171477246,36.9201868652777,37.26359530616282,6491.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a98,36.67509481828725,36.58445043352271,36.02126207173597,35.38932404604414,36.92731684017057,37.07588594601593,6492.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a99,36.29246706976234,36.201916982020066,35.36329349188931,35.00509183522412,36.55618130703716,36.60577087310834,6493.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9a,35.55976645952338,35.51272054157883,34.960550030966914,35.22816093517388,36.00624117881105,35.93960534215276,6494.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9b,36.90162623022151,36.849078041463414,36.44820337177366,36.68747544617563,37.23339180912871,37.26189195874492,6495.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9c,34.641484887706255,34.755708941108196,34.52074057766923,34.666728661927095,35.13349477405249,35.30051886237426,6496.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9d,33.23132027296556,33.50244383698198,32.84376113027595,33.046106150965976,33.721403532966875,33.91058612232066,6497.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9e,32.84700393191423,33.428627056504965,32.68089020058133,32.5486617889418,33.58810904340282,33.82435193005421,6498.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002a9f,32.909948721062825,33.05064823003508,33.24299706597918,32.98243762833946,33.42626106583746,33.68450169095211,6499.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
